,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
166,False,False,False,False,False,True
167,False,False,False,False,False,True
168,False,False,False,False,False,True
169,False,False,False,False,False,True
170,False,False,False,False,False,True
171,False,False,False,False,False,True
172,False,False,False,False,False,True
173,False,False,False,False,False,True
174,False,False,False,False,False,True
175,False,False,False,False,False,True
176,False,False,False,False,False,True
177,False,False,False,False,False,True
178,False,False,False,False,False,True
179,False,False,False,False,False,True
180,False,False,False,False,False,True
181,False,False,False,False,False,True
182,False,False,False,False,False,True
183,False,False,False,False,False,True
184,False,False,False,False,False,True
185,False,False,False,False,False,False
186,False,False,False,False,False,False
187,False,False,False,False,False,False
188,False,False,False,False,False,False
189,False,False,False,False,False,False
190,False,False,False,False,False,False
191,False,False,False,False,False,False
192,False,False,False,False,False,False
193,False,False,False,False,False,False
194,False,False,False,False,False,False
195,False,False,False,False,False,False
196,False,False,False,False,False,False
197,False,False,False,False,False,False
198,False,False,False,False,False,False
199,False,False,False,False,False,False
200,False,False,False,False,False,False
201,False,False,False,False,False,False
202,False,False,False,False,False,False
203,False,False,False,False,False,False
204,False,False,False,False,False,False
205,False,False,False,False,False,False
206,False,False,False,False,False,False
207,False,False,False,False,False,False
208,False,False,False,False,False,False
209,True,False,False,False,False,False
210,True,False,False,False,False,False
211,True,False,False,False,False,False
212,True,False,False,False,False,False
213,True,False,False,False,False,False
214,True,False,False,False,False,False
215,True,False,False,False,False,False
216,True,False,False,False,False,False
217,True,False,False,False,False,False
218,True,False,False,False,False,False
219,True,False,False,False,False,False
220,True,False,False,False,False,False
221,True,False,False,False,False,False
222,True,False,False,False,False,False
223,True,False,False,False,False,False
224,True,False,False,False,False,False
225,True,False,False,False,False,False
226,True,False,False,False,False,False
227,True,False,False,False,False,False
228,True,False,False,False,False,False
229,True,False,False,False,False,False
230,True,False,False,False,False,False
231,True,False,False,False,False,False
232,True,False,False,False,False,False
233,False,True,False,False,False,False
234,False,True,False,False,False,False
235,False,True,False,False,False,False
236,False,True,False,False,False,False
237,False,True,False,False,False,False
238,False,True,False,False,False,False
239,False,True,False,False,False,False
240,False,True,False,False,False,False
241,False,True,False,False,False,False
242,False,True,False,False,False,False
243,False,True,False,False,False,False
244,False,True,False,False,False,False
245,False,True,False,False,False,False
246,False,True,False,False,False,False
247,False,True,False,False,False,False
248,False,True,False,False,False,False
249,False,True,False,False,False,False
250,False,True,False,False,False,False
251,False,True,False,False,False,False
252,False,True,False,False,False,False
253,False,True,False,False,False,False
254,False,True,False,False,False,False
255,False,False,True,False,False,False
256,False,False,True,False,False,False
257,False,False,True,False,False,False
258,False,False,True,False,False,False
259,False,False,True,False,False,False
260,False,False,True,False,False,False
261,False,False,True,False,False,False
262,False,False,True,False,False,False
263,False,False,True,False,False,False
264,False,False,True,False,False,False
265,False,False,True,False,False,False
266,False,False,True,False,False,False
267,False,False,True,False,False,False
268,False,False,True,False,False,False
269,False,False,True,False,False,False
270,False,False,True,False,False,False
271,False,False,True,False,False,False
272,False,False,True,False,False,False
273,False,False,True,False,False,False
274,False,False,True,False,False,False
275,False,False,True,False,False,False
276,False,False,True,False,False,False
277,False,False,False,True,False,False
278,False,False,False,True,False,False
279,False,False,False,True,False,False
280,False,False,False,True,False,False
281,False,False,False,True,False,False
282,False,False,False,True,False,False
283,False,False,False,True,False,False
284,False,False,False,True,False,False
285,False,False,False,True,False,False
286,False,False,False,True,False,False
287,False,False,False,True,False,False
288,False,False,False,True,False,False
289,False,False,False,True,False,False
290,False,False,False,True,False,False
291,False,False,False,True,False,False
292,False,False,False,True,False,False
293,False,False,False,True,False,False
294,False,False,False,True,False,False
295,False,False,False,True,False,False
296,False,False,False,True,False,False
297,False,False,False,True,False,False
298,False,False,False,True,False,False
299,False,False,False,True,False,False
300,False,False,False,True,False,False
301,False,False,False,False,True,False
302,False,False,False,False,True,False
303,False,False,False,False,True,False
304,False,False,False,False,True,False
305,False,False,False,False,True,False
306,False,False,False,False,True,False
307,False,False,False,False,True,False
308,False,False,False,False,True,False
309,False,False,False,False,True,False
310,False,False,False,False,True,False
311,False,False,False,False,True,False
312,False,False,False,False,True,False
313,False,False,False,False,True,False
314,False,False,False,False,True,False
315,False,False,False,False,True,False
316,False,False,False,False,True,False
317,False,False,False,False,True,False
318,False,False,False,False,True,False
319,False,False,False,False,True,False
320,False,False,False,False,True,False
321,False,False,False,False,True,False
322,False,False,False,False,True,False
323,False,False,False,False,True,False
324,False,False,False,False,False,True
325,False,False,False,False,False,True
326,False,False,False,False,False,True
327,False,False,False,False,False,True
328,False,False,False,False,False,True
329,False,False,False,False,False,True
330,False,False,False,False,False,True
331,False,False,False,False,False,True
332,False,False,False,False,False,True
333,False,False,False,False,False,True
334,False,False,False,False,False,True
335,False,False,False,False,False,True
336,False,False,False,False,False,True
337,False,False,False,False,False,True
338,False,False,False,False,False,True
339,False,False,False,False,False,True
340,False,False,False,False,False,True
341,False,False,False,False,False,True
342,False,False,False,False,False,True
343,False,False,False,False,False,True
344,False,False,False,False,False,True
345,False,False,False,False,False,True
346,False,False,False,False,False,True
347,False,False,False,False,False,True
348,False,False,False,False,False,False
349,False,False,False,False,False,False
350,False,False,False,False,False,False
351,False,False,False,False,False,False
352,False,False,False,False,False,False
353,False,False,False,False,False,False
354,False,False,False,False,False,False
355,False,False,False,False,False,False
356,False,False,False,False,False,False
357,False,False,False,False,False,False
358,False,False,False,False,False,False
359,False,False,False,False,False,False
360,False,False,False,False,False,False
361,False,False,False,False,False,False
362,False,False,False,False,False,False
363,False,False,False,False,False,False
364,False,False,False,False,False,False
365,False,False,False,False,False,False
366,False,False,False,False,False,False
367,False,False,False,False,False,False
368,False,False,False,False,False,False
369,False,False,False,False,False,False
370,False,False,False,False,False,False
371,False,False,False,False,False,False
372,True,False,False,False,False,False
373,True,False,False,False,False,False
374,True,False,False,False,False,False
375,True,False,False,False,False,False
376,True,False,False,False,False,False
377,True,False,False,False,False,False
378,True,False,False,False,False,False
379,True,False,False,False,False,False
380,True,False,False,False,False,False
381,True,False,False,False,False,False
382,True,False,False,False,False,False
383,True,False,False,False,False,False
384,True,False,False,False,False,False
385,True,False,False,False,False,False
386,True,False,False,False,False,False
387,True,False,False,False,False,False
388,True,False,False,False,False,False
389,True,False,False,False,False,False
390,True,False,False,False,False,False
391,True,False,False,False,False,False
392,True,False,False,False,False,False
393,True,False,False,False,False,False
394,True,False,False,False,False,False
395,True,False,False,False,False,False
396,False,True,False,False,False,False
397,False,True,False,False,False,False
398,False,True,False,False,False,False
399,False,True,False,False,False,False
400,False,True,False,False,False,False
401,False,True,False,False,False,False
402,False,True,False,False,False,False
403,False,True,False,False,False,False
404,False,True,False,False,False,False
405,False,True,False,False,False,False
406,False,True,False,False,False,False
407,False,True,False,False,False,False
408,False,False,True,False,False,False
409,False,False,True,False,False,False
410,False,False,True,False,False,False
411,False,False,True,False,False,False
412,False,False,True,False,False,False
413,False,False,True,False,False,False
414,False,False,True,False,False,False
415,False,False,True,False,False,False
416,False,False,True,False,False,False
417,False,False,True,False,False,False
418,False,False,True,False,False,False
419,False,False,True,False,False,False
420,False,False,True,False,False,False
421,False,False,True,False,False,False
422,False,False,True,False,False,False
423,False,False,True,False,False,False
424,False,False,True,False,False,False
425,False,False,True,False,False,False
426,False,False,True,False,False,False
427,False,False,True,False,False,False
428,False,False,True,False,False,False
429,False,False,True,False,False,False
430,False,False,True,False,False,False
431,False,False,False,True,False,False
432,False,False,False,True,False,False
433,False,False,False,True,False,False
434,False,False,False,True,False,False
435,False,False,False,True,False,False
436,False,False,False,True,False,False
437,False,False,False,True,False,False
438,False,False,False,True,False,False
439,False,False,False,True,False,False
440,False,False,False,True,False,False
441,False,False,False,True,False,False
442,False,False,False,True,False,False
443,False,False,False,True,False,False
444,False,False,False,True,False,False
445,False,False,False,True,False,False
446,False,False,False,True,False,False
447,False,False,False,True,False,False
448,False,False,False,True,False,False
449,False,False,False,True,False,False
450,False,False,False,True,False,False
451,False,False,False,True,False,False
452,False,False,False,True,False,False
453,False,False,False,True,False,False
454,False,False,False,True,False,False
455,False,False,False,False,True,False
456,False,False,False,False,True,False
457,False,False,False,False,True,False
458,False,False,False,False,True,False
459,False,False,False,False,True,False
460,False,False,False,False,True,False
461,False,False,False,False,True,False
462,False,False,False,False,True,False
463,False,False,False,False,True,False
464,False,False,False,False,True,False
465,False,False,False,False,True,False
466,False,False,False,False,True,False
467,False,False,False,False,True,False
468,False,False,False,False,True,False
469,False,False,False,False,True,False
470,False,False,False,False,True,False
471,False,False,False,False,True,False
472,False,False,False,False,True,False
473,False,False,False,False,True,False
474,False,False,False,False,True,False
475,False,False,False,False,True,False
476,False,False,False,False,True,False
477,False,False,False,False,True,False
478,False,False,False,False,True,False
479,False,False,False,False,False,True
480,False,False,False,False,False,True
481,False,False,False,False,False,True
482,False,False,False,False,False,True
483,False,False,False,False,False,True
484,False,False,False,False,False,True
485,False,False,False,False,False,True
486,False,False,False,False,False,True
487,False,False,False,False,False,True
488,False,False,False,False,False,True
489,False,False,False,False,False,True
490,False,False,False,False,False,True
491,False,False,False,False,False,True
492,False,False,False,False,False,True
493,False,False,False,False,False,True
494,False,False,False,False,False,True
495,False,False,False,False,False,True
496,False,False,False,False,False,True
497,False,False,False,False,False,True
498,False,False,False,False,False,True
499,False,False,False,False,False,True
500,False,False,False,False,False,True
501,False,False,False,False,False,True
502,False,False,False,False,False,False
503,False,False,False,False,False,False
504,False,False,False,False,False,False
505,False,False,False,False,False,False
506,False,False,False,False,False,False
507,False,False,False,False,False,False
508,False,False,False,False,False,False
509,False,False,False,False,False,False
510,False,False,False,False,False,False
511,False,False,False,False,False,False
512,False,False,False,False,False,False
513,False,False,False,False,False,False
514,False,False,False,False,False,False
515,False,False,False,False,False,False
516,False,False,False,False,False,False
517,False,False,False,False,False,False
518,False,False,False,False,False,False
519,False,False,False,False,False,False
520,False,False,False,False,False,False
521,False,False,False,False,False,False
522,False,False,False,False,False,False
523,False,False,False,False,False,False
524,False,False,False,False,False,False
525,True,False,False,False,False,False
526,True,False,False,False,False,False
527,True,False,False,False,False,False
528,True,False,False,False,False,False
529,True,False,False,False,False,False
530,True,False,False,False,False,False
531,True,False,False,False,False,False
532,True,False,False,False,False,False
533,True,False,False,False,False,False
534,True,False,False,False,False,False
535,True,False,False,False,False,False
536,True,False,False,False,False,False
537,True,False,False,False,False,False
538,True,False,False,False,False,False
539,True,False,False,False,False,False
540,True,False,False,False,False,False
541,True,False,False,False,False,False
542,True,False,False,False,False,False
543,True,False,False,False,False,False
544,True,False,False,False,False,False
545,True,False,False,False,False,False
546,True,False,False,False,False,False
547,True,False,False,False,False,False
548,False,True,False,False,False,False
549,False,True,False,False,False,False
550,False,True,False,False,False,False
551,False,True,False,False,False,False
552,False,True,False,False,False,False
553,False,True,False,False,False,False
554,False,True,False,False,False,False
555,False,True,False,False,False,False
556,False,True,False,False,False,False
557,False,True,False,False,False,False
558,False,True,False,False,False,False
559,False,True,False,False,False,False
560,False,True,False,False,False,False
561,False,True,False,False,False,False
562,False,True,False,False,False,False
563,False,True,False,False,False,False
564,False,True,False,False,False,False
565,False,True,False,False,False,False
566,False,True,False,False,False,False
567,False,True,False,False,False,False
568,False,True,False,False,False,False
569,False,True,False,False,False,False
570,False,True,False,False,False,False
571,False,False,True,False,False,False
572,False,False,True,False,False,False
573,False,False,True,False,False,False
574,False,False,True,False,False,False
575,False,False,True,False,False,False
576,False,False,True,False,False,False
577,False,False,True,False,False,False
578,False,False,True,False,False,False
579,False,False,True,False,False,False
580,False,False,True,False,False,False
581,False,False,True,False,False,False
582,False,False,True,False,False,False
583,False,False,True,False,False,False
584,False,False,True,False,False,False
585,False,False,True,False,False,False
586,False,False,True,False,False,False
587,False,False,False,True,False,False
588,False,False,False,True,False,False
589,False,False,False,True,False,False
590,False,False,False,True,False,False
591,False,False,False,True,False,False
592,False,False,False,True,False,False
593,False,False,False,True,False,False
594,False,False,False,True,False,False
595,False,False,False,False,True,False
596,False,False,False,False,True,False
597,False,False,False,False,True,False
598,False,False,False,False,True,False
599,False,False,False,False,True,False
600,False,False,False,False,True,False
601,False,False,False,False,True,False
602,False,False,False,False,True,False
603,False,False,False,False,True,False
604,False,False,False,False,True,False
605,False,False,False,False,True,False
606,False,False,False,False,True,False
607,False,False,False,False,True,False
608,False,False,False,False,True,False
609,False,False,False,False,True,False
610,False,False,False,False,True,False
611,False,False,False,False,True,False
612,False,False,False,False,True,False
613,False,False,False,False,True,False
614,False,False,False,False,True,False
615,False,False,False,False,True,False
616,False,False,False,False,True,False
617,False,False,False,False,True,False
618,False,False,False,False,False,True
619,False,False,False,False,False,True
620,False,False,False,False,False,True
621,False,False,False,False,False,True
622,False,False,False,False,False,True
623,False,False,False,False,False,True
624,False,False,False,False,False,True
625,False,False,False,False,False,True
626,False,False,False,False,False,True
627,False,False,False,False,False,True
628,False,False,False,False,False,True
629,False,False,False,False,False,True
630,False,False,False,False,False,True
631,False,False,False,False,False,True
632,False,False,False,False,False,True
633,False,False,False,False,False,True
634,False,False,False,False,False,True
635,False,False,False,False,False,True
636,False,False,False,False,False,True
637,False,False,False,False,False,True
638,False,False,False,False,False,True
639,False,False,False,False,False,True
640,False,False,False,False,False,True
641,False,False,False,False,False,False
642,False,False,False,False,False,False
643,False,False,False,False,False,False
644,False,False,False,False,False,False
645,False,False,False,False,False,False
646,False,False,False,False,False,False
647,False,False,False,False,False,False
648,False,False,False,False,False,False
649,False,False,False,False,False,False
650,False,False,False,False,False,False
651,False,False,False,False,False,False
652,False,False,False,False,False,False
653,False,False,False,False,False,False
654,False,False,False,False,False,False
655,False,False,False,False,False,False
656,False,False,False,False,False,False
657,False,False,False,False,False,False
658,False,False,False,False,False,False
659,False,False,False,False,False,False
660,False,False,False,False,False,False
661,False,False,False,False,False,False
662,False,False,False,False,False,False
663,False,False,False,False,False,False
664,True,False,False,False,False,False
665,True,False,False,False,False,False
666,True,False,False,False,False,False
667,True,False,False,False,False,False
668,True,False,False,False,False,False
669,True,False,False,False,False,False
670,True,False,False,False,False,False
671,True,False,False,False,False,False
672,True,False,False,False,False,False
673,True,False,False,False,False,False
674,True,False,False,False,False,False
675,True,False,False,False,False,False
676,True,False,False,False,False,False
677,True,False,False,False,False,False
678,True,False,False,False,False,False
679,True,False,False,False,False,False
680,True,False,False,False,False,False
681,True,False,False,False,False,False
682,True,False,False,False,False,False
683,True,False,False,False,False,False
684,True,False,False,False,False,False
685,True,False,False,False,False,False
686,True,False,False,False,False,False
687,True,False,False,False,False,False
688,False,True,False,False,False,False
689,False,True,False,False,False,False
690,False,True,False,False,False,False
691,False,True,False,False,False,False
692,False,True,False,False,False,False
693,False,True,False,False,False,False
694,False,True,False,False,False,False
695,False,True,False,False,False,False
696,False,True,False,False,False,False
697,False,True,False,False,False,False
698,False,True,False,False,False,False
699,False,True,False,False,False,False
700,False,True,False,False,False,False
701,False,True,False,False,False,False
702,False,True,False,False,False,False
703,False,True,False,False,False,False
704,False,True,False,False,False,False
705,False,True,False,False,False,False
706,False,True,False,False,False,False
707,False,True,False,False,False,False
708,False,True,False,False,False,False
709,False,True,False,False,False,False
710,False,True,False,False,False,False
711,False,False,True,False,False,False
712,False,False,True,False,False,False
713,False,False,True,False,False,False
714,False,False,True,False,False,False
715,False,False,True,False,False,False
716,False,False,True,False,False,False
717,False,False,True,False,False,False
718,False,False,True,False,False,False
719,False,False,True,False,False,False
720,False,False,True,False,False,False
721,False,False,True,False,False,False
722,False,False,True,False,False,False
723,False,False,True,False,False,False
724,False,False,True,False,False,False
725,False,False,True,False,False,False
726,False,False,True,False,False,False
727,False,False,True,False,False,False
728,False,False,True,False,False,False
729,False,False,True,False,False,False
730,False,False,True,False,False,False
731,False,False,True,False,False,False
732,False,False,True,False,False,False
733,False,False,True,False,False,False
734,False,False,True,False,False,False
735,False,False,False,True,False,False
736,False,False,False,True,False,False
737,False,False,False,True,False,False
738,False,False,False,True,False,False
739,False,False,False,True,False,False
740,False,False,False,True,False,False
741,False,False,False,True,False,False
742,False,False,False,True,False,False
743,False,False,False,True,False,False
744,False,False,False,True,False,False
745,False,False,False,True,False,False
746,False,False,False,True,False,False
747,False,False,False,True,False,False
748,False,False,False,True,False,False
749,False,False,False,True,False,False
750,False,False,False,True,False,False
751,False,False,False,True,False,False
752,False,False,False,True,False,False
753,False,False,False,True,False,False
754,False,False,False,True,False,False
755,False,False,False,True,False,False
756,False,False,False,True,False,False
757,False,False,False,True,False,False
758,False,False,False,False,True,False
759,False,False,False,False,True,False
760,False,False,False,False,True,False
761,False,False,False,False,True,False
762,False,False,False,False,True,False
763,False,False,False,False,True,False
764,False,False,False,False,True,False
765,False,False,False,False,True,False
766,False,False,False,False,True,False
767,False,False,False,False,True,False
768,False,False,False,False,True,False
769,False,False,False,False,True,False
770,False,False,False,False,True,False
771,False,False,False,False,True,False
772,False,False,False,False,True,False
773,False,False,False,False,True,False
774,False,False,False,False,True,False
775,False,False,False,False,True,False
776,False,False,False,False,True,False
777,False,False,False,False,True,False
778,False,False,False,False,True,False
779,False,False,False,False,True,False
780,False,False,False,False,True,False
781,False,False,False,False,False,True
782,False,False,False,False,False,True
783,False,False,False,False,False,True
784,False,False,False,False,False,True
785,False,False,False,False,False,True
786,False,False,False,False,False,True
787,False,False,False,False,False,True
788,False,False,False,False,False,True
789,False,False,False,False,False,True
790,False,False,False,False,False,True
791,False,False,False,False,False,True
792,False,False,False,False,False,True
793,False,False,False,False,False,True
794,False,False,False,False,False,True
795,False,False,False,False,False,True
796,False,False,False,False,False,True
797,False,False,False,False,False,True
798,False,False,False,False,False,True
799,False,False,False,False,False,True
800,False,False,False,False,False,True
801,False,False,False,False,False,True
802,False,False,False,False,False,True
803,False,False,False,False,False,True
804,False,False,False,False,False,True
805,False,False,False,False,False,False
806,False,False,False,False,False,False
807,False,False,False,False,False,False
808,False,False,False,False,False,False
809,False,False,False,False,False,False
810,False,False,False,False,False,False
811,False,False,False,False,False,False
812,False,False,False,False,False,False
813,False,False,False,False,False,False
814,False,False,False,False,False,False
815,False,False,False,False,False,False
816,False,False,False,False,False,False
817,False,False,False,False,False,False
818,False,False,False,False,False,False
819,False,False,False,False,False,False
820,False,False,False,False,False,False
821,False,False,False,False,False,False
822,False,False,False,False,False,False
823,False,False,False,False,False,False
824,False,False,False,False,False,False
825,False,False,False,False,False,False
826,False,False,False,False,False,False
827,False,False,False,False,False,False
828,False,False,False,False,False,False
829,True,False,False,False,False,False
830,True,False,False,False,False,False
831,True,False,False,False,False,False
832,True,False,False,False,False,False
833,True,False,False,False,False,False
834,True,False,False,False,False,False
835,True,False,False,False,False,False
836,True,False,False,False,False,False
837,True,False,False,False,False,False
838,True,False,False,False,False,False
839,True,False,False,False,False,False
840,True,False,False,False,False,False
841,True,False,False,False,False,False
842,True,False,False,False,False,False
843,True,False,False,False,False,False
844,True,False,False,False,False,False
845,True,False,False,False,False,False
846,True,False,False,False,False,False
847,True,False,False,False,False,False
848,True,False,False,False,False,False
849,True,False,False,False,False,False
850,True,False,False,False,False,False
851,True,False,False,False,False,False
852,True,False,False,False,False,False
853,False,True,False,False,False,False
854,False,True,False,False,False,False
855,False,True,False,False,False,False
856,False,True,False,False,False,False
857,False,True,False,False,False,False
858,False,True,False,False,False,False
859,False,True,False,False,False,False
860,False,True,False,False,False,False
861,False,True,False,False,False,False
862,False,True,False,False,False,False
863,False,True,False,False,False,False
864,False,True,False,False,False,False
865,False,True,False,False,False,False
866,False,True,False,False,False,False
867,False,True,False,False,False,False
868,False,True,False,False,False,False
869,False,True,False,False,False,False
870,False,True,False,False,False,False
871,False,True,False,False,False,False
872,False,True,False,False,False,False
873,False,True,False,False,False,False
874,False,True,False,False,False,False
875,False,True,False,False,False,False
876,False,True,False,False,False,False
877,False,False,True,False,False,False
878,False,False,True,False,False,False
879,False,False,True,False,False,False
880,False,False,True,False,False,False
881,False,False,True,False,False,False
882,False,False,True,False,False,False
883,False,False,True,False,False,False
884,False,False,True,False,False,False
885,False,False,True,False,False,False
886,False,False,True,False,False,False
887,False,False,True,False,False,False
888,False,False,True,False,False,False
889,False,False,True,False,False,False
890,False,False,True,False,False,False
891,False,False,True,False,False,False
892,False,False,True,False,False,False
893,False,False,True,False,False,False
894,False,False,True,False,False,False
895,False,False,True,False,False,False
896,False,False,True,False,False,False
897,False,False,True,False,False,False
898,False,False,True,False,False,False
899,False,False,True,False,False,False
900,False,False,False,True,False,False
901,False,False,False,True,False,False
902,False,False,False,True,False,False
903,False,False,False,True,False,False
904,False,False,False,True,False,False
905,False,False,False,True,False,False
906,False,False,False,True,False,False
907,False,False,False,True,False,False
908,False,False,False,True,False,False
909,False,False,False,True,False,False
910,False,False,False,True,False,False
911,False,False,False,True,False,False
912,False,False,False,True,False,False
913,False,False,False,True,False,False
914,False,False,False,True,False,False
915,False,False,False,True,False,False
916,False,False,False,True,False,False
917,False,False,False,True,False,False
918,False,False,False,True,False,False
919,False,False,False,True,False,False
920,False,False,False,True,False,False
921,False,False,False,True,False,False
922,False,False,False,True,False,False
923,False,False,False,False,True,False
924,False,False,False,False,True,False
925,False,False,False,False,True,False
926,False,False,False,False,True,False
927,False,False,False,False,True,False
928,False,False,False,False,True,False
929,False,False,False,False,True,False
930,False,False,False,False,True,False
931,False,False,False,False,True,False
932,False,False,False,False,True,False
933,False,False,False,False,True,False
934,False,False,False,False,True,False
935,False,False,False,False,True,False
936,False,False,False,False,True,False
937,False,False,False,False,True,False
938,False,False,False,False,True,False
939,False,False,False,False,True,False
940,False,False,False,False,True,False
941,False,False,False,False,True,False
942,False,False,False,False,True,False
943,False,False,False,False,True,False
944,False,False,False,False,True,False
945,False,False,False,False,False,True
946,False,False,False,False,False,True
947,False,False,False,False,False,True
948,False,False,False,False,False,True
949,False,False,False,False,False,True
950,False,False,False,False,False,True
951,False,False,False,False,False,True
952,False,False,False,False,False,True
953,False,False,False,False,False,True
954,False,False,False,False,False,True
955,False,False,False,False,False,True
956,False,False,False,False,False,True
957,False,False,False,False,False,True
958,False,False,False,False,False,True
959,False,False,False,False,False,True
960,False,False,False,False,False,True
961,False,False,False,False,False,True
962,False,False,False,False,False,True
963,False,False,False,False,False,True
964,False,False,False,False,False,True
965,False,False,False,False,False,True
966,False,False,False,False,False,True
967,False,False,False,False,False,True
968,False,False,False,False,False,True
969,False,False,False,False,False,False
970,False,False,False,False,False,False
971,False,False,False,False,False,False
972,False,False,False,False,False,False
973,False,False,False,False,False,False
974,False,False,False,False,False,False
975,False,False,False,False,False,False
976,False,False,False,False,False,False
977,False,False,False,False,False,False
978,False,False,False,False,False,False
979,False,False,False,False,False,False
980,False,False,False,False,False,False
981,False,False,False,False,False,False
982,False,False,False,False,False,False
983,False,False,False,False,False,False
984,False,False,False,False,False,False
985,False,False,False,False,False,False
986,False,False,False,False,False,False
987,False,False,False,False,False,False
988,False,False,False,False,False,False
989,False,False,False,False,False,False
990,False,False,False,False,False,False
991,False,False,False,False,False,False
992,True,False,False,False,False,False
993,True,False,False,False,False,False
